age,job,salary,marital,education,marital-education,targeted,default,balance
58,management,100000,married,tertiary,married-tertiary,yes,no,2143
44,technician,60000,single,secondary,single-secondary,yes,no,29
33,entrepreneur,120000,married,secondary,married-secondary,yes,no,2
47,blue-collar,20000,married,unknown,married-unknown,no,no,1506
33,unknown,0,single,unknown,single-unknown,no,no,1
35,management,100000,married,tertiary,married-tertiary,yes,no,231
28,management,100000,single,tertiary,single-tertiary,no,no,447
42,entrepreneur,120000,divorced,tertiary,divorced-tertiary,no,yes,2
58,retired,55000,married,primary,married-primary,yes,no,121
43,technician,60000,single,secondary,single-secondary,yes,no,593
41,admin.,50000,divorced,secondary,divorced-secondary,yes,no,270
29,admin.,50000,single,secondary,single-secondary,yes,no,390
53,technician,60000,married,secondary,married-secondary,yes,no,6
58,technician,60000,married,unknown,married-unknown,no,no,71
57,services,70000,married,secondary,married-secondary,yes,no,162
51,retired,55000,married,primary,married-primary,yes,no,229
45,admin.,50000,single,unknown,single-unknown,no,no,13
57,blue-collar,20000,married,primary,married-primary,yes,no,52
60,retired,55000,married,primary,married-primary,yes,no,60
33,services,70000,married,secondary,married-secondary,yes,no,0
28,blue-collar,20000,married,secondary,married-secondary,yes,no,723
56,management,100000,married,tertiary,married-tertiary,yes,no,779
32,blue-collar,20000,single,primary,single-primary,yes,no,23
25,services,70000,married,secondary,married-secondary,yes,no,50
40,retired,NA,married,primary,married-primary,yes,no,0
44,admin.,50000,married,secondary,married-secondary,yes,no,-372
39,management,100000,single,tertiary,single-tertiary,no,no,255
52,entrepreneur,120000,married,secondary,married-secondary,yes,no,113
46,management,100000,single,secondary,single-secondary,yes,no,-246
36,technician,60000,single,secondary,single-secondary,yes,no,265
57,technician,60000,married,secondary,married-secondary,yes,no,839
49,management,100000,married,tertiary,married-tertiary,yes,no,378
60,admin.,50000,married,secondary,married-secondary,yes,no,39
59,blue-collar,NA,married,secondary,married-secondary,yes,no,0
51,management,100000,married,tertiary,married-tertiary,yes,no,10635
57,technician,60000,divorced,secondary,divorced-secondary,yes,no,63
25,blue-collar,20000,married,secondary,married-secondary,yes,no,-7
53,technician,60000,married,secondary,married-secondary,yes,no,-3
36,admin.,50000,divorced,secondary,divorced-secondary,yes,no,506
37,admin.,50000,single,secondary,single-secondary,yes,no,0
44,services,70000,divorced,secondary,divorced-secondary,yes,no,2586
50,management,100000,married,secondary,married-secondary,yes,no,49
60,blue-collar,20000,married,unknown,married-unknown,no,no,104
54,retired,NA,married,secondary,married-secondary,yes,no,529
58,retired,55000,married,unknown,married-unknown,no,no,96
36,admin.,50000,single,primary,single-primary,yes,no,-171
58,self-employed,60000,married,tertiary,married-tertiary,yes,no,-364
44,technician,60000,married,secondary,married-secondary,yes,no,0
55,technician,60000,divorced,secondary,divorced-secondary,yes,no,0
29,management,100000,single,tertiary,single-tertiary,no,no,0
54,blue-collar,20000,married,secondary,married-secondary,yes,no,1291
48,management,100000,divorced,tertiary,divorced-tertiary,no,no,-244
32,management,100000,married,tertiary,married-tertiary,yes,no,0
42,admin.,50000,single,secondary,single-secondary,yes,no,-76
24,technician,60000,single,secondary,single-secondary,yes,no,-103
38,entrepreneur,120000,single,tertiary,single-tertiary,no,no,243
38,management,100000,single,tertiary,single-tertiary,no,no,424
47,blue-collar,20000,married,unknown,married-unknown,no,no,306
40,blue-collar,NA,single,unknown,single-unknown,no,no,24
46,services,70000,married,primary,married-primary,yes,no,179
32,admin.,50000,married,tertiary,married-tertiary,yes,no,0
53,technician,60000,divorced,secondary,divorced-secondary,yes,no,989
57,blue-collar,20000,married,primary,married-primary,yes,no,249
33,services,70000,married,secondary,married-secondary,yes,no,790
49,blue-collar,20000,married,unknown,married-unknown,no,no,154
51,management,100000,married,tertiary,married-tertiary,yes,no,6530
60,retired,55000,married,tertiary,married-tertiary,yes,no,100
59,management,100000,divorced,tertiary,divorced-tertiary,no,no,59
55,technician,60000,married,secondary,married-secondary,yes,no,1205
35,blue-collar,20000,single,secondary,single-secondary,yes,no,12223
57,blue-collar,20000,married,secondary,married-secondary,yes,no,5935
31,services,70000,married,secondary,married-secondary,yes,no,25
54,management,100000,married,secondary,married-secondary,yes,no,282
55,blue-collar,20000,married,primary,married-primary,yes,no,23
43,technician,60000,married,secondary,married-secondary,yes,no,1937
53,technician,60000,married,secondary,married-secondary,yes,no,384
44,blue-collar,20000,married,secondary,married-secondary,yes,no,582
55,services,70000,divorced,secondary,divorced-secondary,yes,no,91
49,services,70000,divorced,secondary,divorced-secondary,yes,no,0
55,services,70000,divorced,secondary,divorced-secondary,yes,yes,1
45,admin.,50000,single,secondary,single-secondary,yes,no,206
47,services,70000,divorced,secondary,divorced-secondary,yes,no,164
42,technician,60000,single,secondary,single-secondary,yes,no,690
59,admin.,50000,married,secondary,married-secondary,yes,no,2343
46,self-employed,60000,married,tertiary,married-tertiary,yes,no,137
51,blue-collar,20000,married,primary,married-primary,yes,no,173
56,admin.,50000,married,secondary,married-secondary,yes,no,45
41,technician,60000,married,secondary,married-secondary,yes,no,1270
46,management,100000,divorced,secondary,divorced-secondary,yes,no,16
57,retired,55000,married,secondary,married-secondary,yes,no,486
42,management,100000,single,secondary,single-secondary,yes,no,50
30,technician,60000,married,secondary,married-secondary,yes,no,152
60,admin.,50000,married,secondary,married-secondary,yes,no,290
60,blue-collar,20000,married,unknown,married-unknown,no,no,54
57,entrepreneur,120000,divorced,secondary,divorced-secondary,yes,no,-37
36,management,100000,married,tertiary,married-tertiary,yes,no,101
55,blue-collar,20000,married,secondary,married-secondary,yes,no,383
60,retired,55000,married,tertiary,married-tertiary,yes,no,81
39,technician,60000,married,secondary,married-secondary,yes,no,0
